Nodes : 23434  Edges : 22911
Highest degree : 113  Highest weight : 103
Id : srrninoi  Deg : 2  Max weight : [('ElHajjHagop8', 11)]
Id : kmnmkz  Deg : 17  Max weight : [('laniokance', 12), ('CDians12', 13)]
Id : flowraaz  Deg : 25  Max weight : [('mitrovicaliju', 15), ('RSnooppi', 24)]
Id : Daantje29081965  Deg : 1  Max weight : [('jenny68119220', 12)]
Id : ilnasila  Deg : 14  Max weight : [('ilnasila', 30)]
Id : OukhtySpies  Deg : 8  Max weight : [('jsppkazyy', 12)]
Id : NekoHisoka9  Deg : 11  Max weight : [('NekoHisoka9', 14)]
Id : subtlykawaii  Deg : 10  Max weight : [('subtlykawaii', 12)]
Id : s_vfaa  Deg : 4  Max weight : [('franchementyes', 15)]
Id : haronoslm  Deg : 11  Max weight : [('ayaa_atg', 12)]
Id : DuchGimenez  Deg : 5  Max weight : [('StaytinyWeClown', 11), ('stayhydrater', 12)]
Id : StaytinyWeClown  Deg : 1  Max weight : [('DuchGimenez', 11)]
Id : Dilaraevakaplan  Deg : 9  Max weight : [('me3ve_', 12)]
Id : _hnd19  Deg : 6  Max weight : [('kelzss0', 14)]
Id : cestousmane  Deg : 1  Max weight : [('lbnaa__', 29)]
Id : CaaacheLaBeuuh  Deg : 15  Max weight : [('perspicasss', 12)]
Id : anahitttttt  Deg : 2  Max weight : [('Norik_015', 11)]
Id : NonanteZes  Deg : 12  Max weight : [('thors1595', 11), ('NonanteZes', 24)]
Id : zoweetjewel  Deg : 11  Max weight : [('zoweetjewel', 14)]
Id : GuetteLaVie  Deg : 19  Max weight : [('linaaa_blms', 11)]
Id : thors1595  Deg : 9  Max weight : [('NonanteZes', 11)]
Id : anousslad  Deg : 1  Max weight : [('SoufianeSRT', 11)]
Id : sjarlewis  Deg : 12  Max weight : [('sjarlewis', 26)]
Id : CodyflyerNl  Deg : 1  Max weight : [('johanhofman', 18)]
Id : Shenzen__  Deg : 3  Max weight : [('CrimsonKira2', 16)]
Id : CrimsonKira2  Deg : 1  Max weight : [('Shenzen__', 16)]
Id : IMiinuss  Deg : 2  Max weight : [('AmcAsmae', 12)]
Id : AmcAsmae  Deg : 1  Max weight : [('IMiinuss', 12)]
Id : sappyBlume  Deg : 4  Max weight : [('sappyBlume', 28)]
Id : BelgeEspagnol  Deg : 5  Max weight : [('BelgeEspagnol', 18)]
Id : adamecr007  Deg : 3  Max weight : [('La_Grintaa_', 11)]
Id : fff007  Deg : 6  Max weight : [('quisthoudt', 18), ('ds_patsy', 12)]
Id : TitoMutyebele  Deg : 21  Max weight : [('TitoMutyebele', 28)]
Id : bilgesuerciyas  Deg : 9  Max weight : [('senayksl_', 19)]
Id : Mirayneau  Deg : 6  Max weight : [('zvli_mathafack', 12), ('franchementyes', 16)]
Id : _kenpach1  Deg : 6  Max weight : [('daf_hoody', 14)]
Id : YzzYamaha  Deg : 1  Max weight : [('sara_sarria', 12)]
Id : Biirdyx_  Deg : 5  Max weight : [('oniizuukkaa', 22)]
Id : mwamaide  Deg : 9  Max weight : [('kenzaa_ck', 34)]
Id : kenzaa_ck  Deg : 1  Max weight : [('mwamaide', 34)]
