Nodes : 20218  Edges : 20328
Highest degree : 157  Highest weight : 116
Id : nirmks          	Deg : 2 	Best weight(s) : [('Adilluxe', 17)]
Id : 4D_jjang        	Deg : 6 	Best weight(s) : [('Not_Kawaiii88', 16)]
Id : Not_Kawaiii88   	Deg : 1 	Best weight(s) : [('4D_jjang', 16)]
Id : Hannibal_01     	Deg : 1 	Best weight(s) : [('SDnils', 11)]
Id : SDnils          	Deg : 2 	Best weight(s) : [('Hannibal_01', 11)]
Id : MehdiZeriouh    	Deg : 2 	Best weight(s) : [('nawallisimbi', 18)]
Id : StefanLeifert   	Deg : 5 	Best weight(s) : [('StefanLeifert', 12)]
Id : nahaapnl        	Deg : 1 	Best weight(s) : [('parkinxsss', 14)]
Id : ADM_B10         	Deg : 3 	Best weight(s) : [('mqlf212', 11)]
Id : fynlazone       	Deg : 7 	Best weight(s) : [('CaaacheLaBeuuh', 15)]
Id : TheTurkish61_   	Deg : 2 	Best weight(s) : [('Chat3al', 12), ('mucaHITLER', 12)]
Id : louve97love     	Deg : 13 	Best weight(s) : [('Nightingale935', 11)]
Id : Nightingale935  	Deg : 1 	Best weight(s) : [('louve97love', 11)]
Id : SaidEsko        	Deg : 7 	Best weight(s) : [('WK44_', 12)]
Id : AlexanderPrym   	Deg : 18 	Best weight(s) : [('AlexanderPrym', 12)]
Id : Walid0207       	Deg : 22 	Best weight(s) : [('DiabloMatador', 12)]
Id : StrkAdam        	Deg : 18 	Best weight(s) : [('StrkAdam', 14)]
Id : cuckmasks       	Deg : 1 	Best weight(s) : [('ApplePip1', 18)]
Id : Lt2Gustavo      	Deg : 1 	Best weight(s) : [('MangabaMG', 17)]
Id : Leyyyy_l        	Deg : 4 	Best weight(s) : [('cestadil', 23)]
Id : MorueModerne    	Deg : 6 	Best weight(s) : [('MorueModerne', 22)]
Id : MarieBayle77    	Deg : 8 	Best weight(s) : [('butch2k', 11)]
Id : H_sakuraaaa     	Deg : 2 	Best weight(s) : [('ArabiannWomen', 12)]
Id : arzugsss        	Deg : 10 	Best weight(s) : [('_hnd19', 12)]
Id : Yasmine_alt     	Deg : 2 	Best weight(s) : [('_sousou_01', 11)]
Id : _sousou_01      	Deg : 5 	Best weight(s) : [('Yasmine_alt', 11), ('_sousou_01', 20)]
Id : mahmoudlachevre 	Deg : 3 	Best weight(s) : [('all_sawda', 22)]
Id : monsieurselo    	Deg : 7 	Best weight(s) : [('imanebchmr', 13)]
Id : TheCixe         	Deg : 12 	Best weight(s) : [('Marm0te', 11)]
Id : MirakElrt       	Deg : 4 	Best weight(s) : [('MirakElrt', 78)]
Id : stillajobrosfan 	Deg : 13 	Best weight(s) : [('stillajobrosfan', 20)]
Id : JeSuisPlusUnBot 	Deg : 1 	Best weight(s) : [('Onnawi', 17)]
Id : rpl_anass       	Deg : 3 	Best weight(s) : [('franchementyes', 15)]
Id : VeyDrop         	Deg : 1 	Best weight(s) : [('sykssfn', 19)]
Id : butch2k         	Deg : 1 	Best weight(s) : [('MarieBayle77', 11)]
Id : Wk_zzzz         	Deg : 4 	Best weight(s) : [('_joodiee_', 15)]
Id : jivoth          	Deg : 10 	Best weight(s) : [('hilaire_damien', 18)]
Id : hilaire_damien  	Deg : 2 	Best weight(s) : [('jivoth', 18)]
Id : al19TK          	Deg : 6 	Best weight(s) : [('OthmanLine', 15)]
Id : hibaa_elm       	Deg : 1 	Best weight(s) : [('Adilluxe', 11)]
Id : ReoziaXBL       	Deg : 8 	Best weight(s) : [('Seihuko', 11)]
Id : zz1o80          	Deg : 10 	Best weight(s) : [('PasRyn17', 14)]
Id : La_PesteBrune   	Deg : 1 	Best weight(s) : [('ElHajjHagop8', 12)]
Id : sadeaufinal     	Deg : 5 	Best weight(s) : [('franchementyes', 13)]
Id : Francoi92197219 	Deg : 1 	Best weight(s) : [('Touriadebxl', 12)]
Id : cyrilnijs       	Deg : 8 	Best weight(s) : [('cyrilnijs', 14)]
Id : ThomasRotthier  	Deg : 2 	Best weight(s) : [('pevdmeer', 12)]
Id : MJakaMuzan      	Deg : 4 	Best weight(s) : [('Shwpss', 15)]
Id : __okmany        	Deg : 5 	Best weight(s) : [('moumoux2_0', 11)]
Id : HadesYoungg     	Deg : 3 	Best weight(s) : [('ranialamenace', 13)]
Id : zoe_srtll       	Deg : 1 	Best weight(s) : [('Chat3al', 12)]
Id : m1kepv          	Deg : 2 	Best weight(s) : [('AtakeKindatake', 11)]
Id : whynothn        	Deg : 12 	Best weight(s) : [('OthmanLine', 11)]
Id : 21tired         	Deg : 1 	Best weight(s) : [('00siris', 12)]
Id : amiramonkey     	Deg : 1 	Best weight(s) : [('chaimajoo', 17)]
