,user,user_id,location,is_reply_to,reply_id,is_quoted,is_rt,time
99,Aruna345,2426800650,Ghent,brassens_george,473706465,False,False,2020-12-30 16:46:52
100,colinelves,423430210,Sint-Pieters-Woluwe,Samfr,19088758,False,False,2020-12-30 16:46:51
101,pitwo_navarro,766196472,Boom,AlexWhiteES,281690726,False,False,2020-12-30 16:46:47
102,MTchekouteff,458268039,Nazareth,,,False,False,2020-12-30 16:46:45
103,JJS1157,383756346,Landen,,,True,False,2020-12-30 16:46:43
104,JackyVandecast1,1324290998432878593,Tielt,_WonderLady,703674155187699712,False,False,2020-12-30 16:46:33
105,docyvan,962072212403494913,Sint-Lievens-Houtem,,,True,False,2020-12-30 16:45:59
106,vanderb25257949,1233040194628136963,Schoten,debrak151,922861607289573382,False,False,2020-12-30 16:45:59
107,LuytenCarina,784113198077272064,Herentals,,,False,False,2020-12-30 16:45:29
108,JackyVandecast1,1324290998432878593,Tielt,_WonderLady,703674155187699712,False,False,2020-12-30 16:45:20
109,vanderb25257949,1233040194628136963,Schoten,JamesStaal4,1316766698029150221,False,False,2020-12-30 16:45:04
110,CruzCarnal,1172157146944999424,Lokeren,VLJojo,2350272613,False,False,2020-12-30 16:45:02
111,djroll_official,1560198092,Belgium,,,False,False,2020-12-30 16:44:51
112,MartijnDupre,382791741,Wetteren,,,False,False,2020-12-30 16:44:40
113,JackyVandecast1,1324290998432878593,Tielt,Karinvr066,964723081,False,False,2020-12-30 16:44:37
114,JJS1157,383756346,Landen,,,True,False,2020-12-30 16:44:20
115,GOENRI,113915864,Ukkel,LaurenRAnders1,3720738492,False,False,2020-12-30 16:43:57
116,FransVerstrepe2,797418720729645060,Bruges,loukis12,1080563072010465286,False,False,2020-12-30 16:43:56
117,liv_persyn,4663220133,Ghent,R_Ponne,775734378873970688,False,False,2020-12-30 16:43:56
118,GielenDanny,321411913,Stabroek,,,False,False,2020-12-30 16:43:49
119,Jessy08305008,1286344708994867204,Dendermonde,,,False,False,2020-12-30 16:43:46
120,CruzCarnal,1172157146944999424,Lokeren,VLmikloo,1331056377373057025,False,False,2020-12-30 16:43:43
121,robbekurt,848241157968736257,Jabbeke,meinertttt,127246601,False,False,2020-12-30 16:43:43
122,MaereFrank,842753972607897601,Waasmunster,radio1be,34554377,False,False,2020-12-30 16:43:24
123,BiancaCvozC1,928260889031200773,Overpelt,,,False,False,2020-12-30 16:43:24
124,elisa_dbo,1212474491600691200,Belgium,,,False,False,2020-12-30 16:43:21
125,JackyVandecast1,1324290998432878593,Tielt,annekerocks,199624058,False,False,2020-12-30 16:43:09
126,vanderb25257949,1233040194628136963,Schoten,NoreenTSweeney,1045326984627326977,False,False,2020-12-30 16:43:07
127,ElTurkkko,2688550707,Messancy,,,False,False,2020-12-30 16:42:49
128,FransVerstrepe2,797418720729645060,Bruges,Belgianmotor,141264571,False,False,2020-12-30 16:42:45
129,VermeirschA,1079371495044984832,Ostend,,,False,False,2020-12-30 16:42:22
130,johnsips1949,810593591844335616,Turnhout,lottecornll,3095022483,False,False,2020-12-30 16:42:21
131,PSwitten,382566391,Zonhoven,,,True,False,2020-12-30 16:42:02
132,Hofundurlab2,1303641866597019648,Charleroi,Jeux_Video_Mag,507266014,False,False,2020-12-30 16:41:59
133,robbekurt,848241157968736257,Jabbeke,meinertttt,127246601,False,False,2020-12-30 16:41:48
134,BakkerFilip,42413938,Kruibeke,superzu,5652972,False,False,2020-12-30 16:41:15
135,MartijnDupre,382791741,Wetteren,,,False,False,2020-12-30 16:41:11
136,ouhamahiche,335343968,Fosses-la-Ville,,,False,False,2020-12-30 16:40:48
137,SPAPEGGY,2408086692,Schelle,VastGG,851661253944766465,False,False,2020-12-30 16:40:43
138,AlainBeera,3350415479,Liege,,,False,False,2020-12-30 16:40:41
139,InnoGenna,36812061,Elsene,mferrari961,992526217030127623,False,False,2020-12-30 16:40:28
140,Znjeeahamdgmai2,1287415724324118534,Namur,alhoot992,1272439878735867905,False,False,2020-12-30 16:40:26
141,JackyVandecast1,1324290998432878593,Tielt,jenny68119220,1131876829076381696,False,False,2020-12-30 16:40:05
142,Znjeeahamdgmai2,1287415724324118534,Namur,HossamS36476013,1242901083103600641,False,False,2020-12-30 16:40:02
143,MerveImemek,235537970,Balen,,,True,False,2020-12-30 16:39:58
144,JackyVandecast1,1324290998432878593,Tielt,Gewoon_Con,936893661932957697,False,False,2020-12-30 16:39:43
